"选手ID","国籍","队伍","位置","年龄","TI次数"
"Yadomi","Peru","","Support","29","0"
"ZipoOne","Peru","","Other","","0"
"Ztok","Peru","","Support","31","0"
"Zxca","Peru","","Support","27","0"
"drakesh1t","Peru","","Offlane","","0"
"kxy","Peru","Zetta Games","Mid","25","0"
"lalatronii","Peru","","Mid","22","0"
"n1ght","Peru","","Support","26","1"
"pamplona","Peru","Zetta Games","Support","27","0"
"payk","Peru","","Carry","20","1"
"steel-","Peru","","Mid","27","0"
"wonderk1d^^<","Peru","","Mid","21","0"
"Ñengo","Peru","","Mid","24","0"
"Benjaz","Peru","","Other","32","1"
"Jericho","Peru","","Support","30","0"
"MiHawk","Peru","","Offlane","","0"
"Valqui","Peru","","Offlane","29","0"
"iwo","Peru","","Other","","0"
"mstco","Peru","","Other","","0"
"vanN","Peru","","Coach","32","0"
"Ab1ng","Philippines","","Carry","","0"
"Abat","Philippines","","Carry","27","0"
"Abed","Philippines","Virtus.pro","Mid","26","6"
"Abeng","Philippines","Ivory","Support","30","0"
"Akashi","Philippines","Execration","Carry","23","2"
"Armel","Philippines","","Mid","26","4"
"BYB","Philippines","","Offlane","33","0"
"Benhur","Philippines","","Mid","29","0"
"Bensoy","Philippines","","Offlane","28","0"
"Bhm","Philippines","","Offlane","","0"
"Bob","Philippines","Execration","Mid","25","0"
"Bok","Philippines, Japan","","Offlane","32","0"
"Boomy","Philippines","","Support","33","0"
"Carlo","Philippines","Ivory","Support","30","0"
"DJ","Philippines","","Support","31","6"
"Derp","Philippines","ALPHA Esports Pro","Support","32","0"
"Dric~","Philippines","Yangon Galacticos","Support","26","0"
"Enryu","Philippines","","Offlane","27","0"
"Erice","Philippines","InterActive Philippines","Support","30","1"
"Ewe","Philippines","","Offlane","32","0"
"Flysolo","Philippines","","Support","34","0"
"Foxx","Philippines","","Carry","","0"
"Gabbi","Philippines","","Offlane","28","2"
"Gio","Philippines","","Support","","0"
"Grimz","Philippines","InterActive Philippines","Support","30","0"
"JG","Philippines","Ivory","Offlane","26","0"
"Jacko","Philippines","","Mid","","0"
"Jamesy","Philippines","","Mid","32","1"
"Jaunuel","Philippines","","Support","27","3"
"JessieVash","Philippines","","Support","36","1"
"Jhoven","Philippines","","Mid","","0"
"Jing","Philippines","","Support","25","1"
"Julz","Philippines","","Support","33","1"
"JyC","Philippines","","Support","34","0"
"Karl","Philippines","","Mid","28","1"
"Karma丶","Philippines","Ivory","Carry","26","0"
"Ken","Philippines","","Mid","23","0"
"Kimizu","Philippines","","Offlane","26","0"
"Kokz","Philippines","","Offlane","25","0"
"Kuku","Philippines","","Support","29","5"
"Luciano","Philippines","","Offlane","30","0"
"LuziFy","Philippines","","Support","30","0"
"Mac","Philippines","Ivory","Mid","27","1"
"Marc","Philippines","","Mid","","0"
"Nando","Philippines","","Carry","29","1"
"Natsumi-","Philippines","OG","Carry","25","1"
"Nikko","Philippines","OG","Offlane","25","0"
"Palos","Philippines","Execration","Carry","24","0"
"Pio","Philippines","","Mid","29","0"
"PlayHard","Philippines","Direborn Esports","Support","27","0"
"Prince","Philippines, United States","","Mid","","0"
"Prince","Philippines","","Carry","24","0"
"RR","Philippines","","Support","31","1"
"Raging Potato","Philippines","","Support","30","2"
"Rapy","Philippines","","Offlane","29","0"
"Raven","Philippines","OG","Offlane","27","7"
"Rupido","Philippines","Yangon Galacticos","Carry","27","0"
"Sam_H","Philippines","","Offlane","31","3"
"Samael","Philippines","","Support","33","1"
"Shanks","Philippines","Execration","Support","28","0"
